ID,Fato Histórico,Verdadeiro?,Curiosidade
1713,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
1714,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
1715,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
1716,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
1717,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
1718,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
1719,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
1720,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
1721,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
1722,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
1723,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
1724,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
1725,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
1726,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
1727,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
1728,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
1729,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
1730,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
1731,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
1732,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
1733,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
1734,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
1735,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
1736,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
1737,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
1738,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
1739,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
1740,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
1741,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
1742,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
1743,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
1744,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
1745,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
1746,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
1747,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
1748,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
1749,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
1750,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
1751,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
1752,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
1753,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
1754,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
1755,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
1756,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
1757,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
1758,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
1759,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
1760,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
1761,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
1762,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
1763,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
1764,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
1765,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
1766,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
1767,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
1768,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
1769,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
1770,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
1771,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
1772,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
1773,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
1774,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
1775,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
1776,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
1777,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
1778,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
1779,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
1780,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
1781,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
1782,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
1783,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
1784,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
1785,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
1786,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
1787,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
1788,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
1789,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
1790,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
1791,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
1792,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
1793,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
1794,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
1795,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
1796,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
1797,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
1798,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
1799,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
1800,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
1801,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
1802,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
1803,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
1804,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
1805,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
1806,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
1807,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
1808,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
1809,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
1810,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
1811,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
1812,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
1813,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
1814,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
1815,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
1816,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
1817,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
1818,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
1819,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
1820,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
1821,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
1822,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
1823,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
1824,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
1825,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
1826,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
1827,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
1828,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
1829,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
1830,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
1831,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
1832,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
1833,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
1834,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
1835,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
1836,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
1837,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
1838,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
1839,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
1840,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
1841,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
1842,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
1843,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
